Designator,Footprint,Quantity,Value,LCSC Part #
111,M.2-B-KEY,1,M.2-B-KEY,
"C1, C10, C12, C13, C17, C18, C19, C2, C20, C26, C27, C28, C8",0603,13,0.1uF,
"C11, C25",0603,2,1uF,
"C14, C15, C16",0603,3,220pF,
"C21, C22, C23, C24, C9",0603,5,10uF,
"C3, C4",0603,2,18pF,
"C5, C6, C7",0805,3,10uF,
"D1, D3, D4, D5, D6",0603,5,LED-R,
D2,0603,1,LED-G,
"L1, L2, L3",L_Changjiang_FNR3015S,3,2.2uH,
"LED1, LED2, LED3, LED4",LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,4,WS2812B-2020,
"R1, R12, R13, R14, R15, R16, R2, R8",0603,8,2kΩ,
R10,0603,1,470kΩ,
R11,0603,1,680kΩ,
"R3, R4",0603,2,10kΩ,
"R5, R6, R7",0603,3,150kΩ,
R9,0603,1,130kΩ,
"SW1, SW2",SW-SMD_D-SWITCH_DS-THAM04-ABB-R,2,DS-THAM04-ABB-R,
U1,QFN-88_L10.0-W10.0-P0.40-BL-EP6.75,1,F1C200S,
U2,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,1,XC6206P302MR_C347375,
U3,WQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm_ThermalVias,1,EA3036C,
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,SMD-3225_4P_24.000MHZ_18PF,
