Designator,Mid X,Mid Y,Rotation,Layer
111,30.226,-63.906,0.0,top
C1,21.59,-26.416,0.0,top
C10,34.798,-39.624,270.0,top
C11,20.574,-33.02,90.0,top
C12,34.798,-36.322,270.0,top
C13,39.2684,-53.7464,180.0,top
C14,32.004,-35.052,180.0,top
C15,23.368,-35.052,0.0,top
C16,22.606,-29.21,270.0,top
C17,20.574,-42.926,270.0,top
C18,34.798,-33.02,90.0,top
C19,20.574,-36.322,270.0,top
C2,38.862,-26.416,0.0,top
C20,38.862,-29.21,270.0,top
C21,40.386,-29.21,270.0,top
C22,27.686,-38.1,0.0,top
C23,27.686,-39.624,0.0,top
C24,27.686,-41.148,0.0,top
C25,27.686,-36.576,0.0,top
C26,33.782,-29.21,270.0,top
C27,32.258,-29.21,270.0,top
C28,30.734,-29.21,270.0,top
C3,34.1252,-43.548,90.0,top
C4,28.0292,-43.548,90.0,top
C5,32.004,-40.386,180.0,top
C6,23.368,-40.386,0.0,top
C7,20.828,-29.21,270.0,top
C8,39.2684,-56.7944,0.0,top
C9,20.574,-39.624,90.0,top
D1,37.846,-39.878,270.0,top
D2,36.322,-39.878,270.0,top
D3,39.37,-36.322,90.0,top
D4,36.322,-36.322,90.0,top
D5,37.846,-36.322,90.0,top
D6,23.6728,-43.1292,270.0,top
L1,32.004,-37.592,180.0,top
L2,23.368,-37.592,0.0,top
L3,28.194,-28.9672,270.0,top
LED1,39.7676,-39.878,270.0,top
LED2,39.7676,-43.18,270.0,top
LED3,39.7676,-46.482,270.0,top
LED4,39.7676,-49.784,270.0,top
R1,37.846,-43.18,90.0,top
R10,23.368,-33.528,0.0,top
R11,24.13,-29.21,270.0,top
R12,39.2684,-55.2704,180.0,top
R13,39.37,-33.02,270.0,top
R14,36.322,-33.02,270.0,top
R15,37.846,-33.02,270.0,top
R16,22.1488,-43.1292,270.0,top
R2,36.322,-43.18,90.0,top
R3,24.892,-26.416,0.0,top
R4,35.56,-26.416,180.0,top
R5,32.004,-32.004,180.0,top
R6,23.368,-32.004,0.0,top
R7,25.654,-29.21,270.0,top
R8,39.2684,-52.2224,0.0,top
R9,32.004,-33.528,180.0,top
SW1,22.352,-23.876,180.0,top
SW2,38.1,-23.8565,180.0,top
U1,26.3144,-52.3338,0.0,top
U2,36.322,-29.21,270.0,top
U3,27.686,-33.528,0.0,top
X1,31.0772,-43.548,180.0,top
