Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C14, C16, C19, C5",0603,6,100nF,
"C10, C15, C2, C4, C6, C9",0603,6,10uF,
"C11, C18, C3",0603,3,0.1uF,
C17,0603,1,2.2uF,
"C7, C8",0603,2,20pF,
CN1,CONN-SMD_AS0BC21-S30BB-7H,1,AS0BC21-S40BB-7H,
CN2,AUDIO-SMD_PJ-327A5JJ,1,PJ-327A_5JJ,
Card1,TF-SMD_MR01A-01211,1,MR01A-01211,
"D1, D2, D3, D4",0603,4,LED-R,
D5,0603,1,LED-B,
"D6, D7",0603,2,LED-G,
FPC1,FPC-SMD_P0.50-40P_FGS-XJ-H2.0,1,AFC01-S40FCA-00,
H1,MountingHole_3.5mm,1,MountingHole,
"J1, J2, J4, J5",PinHeader_1x04_P2.54mm_Vertical,4,Conn_01x04,
J3,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8",LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,8,WS2812B-2020,
MIC1,MIC-TH_BD4.0-P1.40-D0.3-L,1,B4012AP422-003,
"R1, R10, R11, R2, R3, R8, R9",0603,7,2kΩ,
"R12, R13, R14, R15, R16, R23, R24, R25, R26",0603,9,10KΩ,
"R17, R18, R19, R20",0603,4,47kΩ,
R21,0603,1,22Ω,
R22,0603,1,1KΩ,
"R4, R5, R6, R7",0603,4,5.1kΩ,
SW1,SW-TH_MSK12C02,1,MSK12C02,
U1,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,1,XC6206P302MR_C347375,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,1,SL2.1A,
U4,MSOP-10_3x3mm_P0.5mm,1,CH340E,
U5,WIFIM-SMD_ESP-12F-ESP8266MOD,1,ESP-12F(ESP8266MOD),
"USB1, USB2",USB-C-SMD_TYPE-C-6PIN-2MD-073,2,TYPE-C_16PIN_2MD(073),
"USB4, USB5",USB-A-TH_USB-302-T,2,292303-1,
X1,OSC-SMD_4P-L3.2-W2.5-BL,1,X322512MSB4SI,
