Designator,Mid X,Mid Y,Rotation,Layer
C1,153.4,-74.4,270.0,top
C10,155.3,-95.1,180.0,top
C11,179.1208,-59.8932,180.0,top
C13,184.3532,-100.1776,0.0,bottom
C14,184.4465,-84.6328,0.0,bottom
C15,174.3456,-120.4468,180.0,top
C16,174.3456,-122.0216,180.0,top
C17,156.718,-109.8804,270.0,top
C18,169.1,-81.0,0.0,bottom
C19,153.2636,-120.5992,0.0,top
C2,151.8,-74.4,270.0,top
C3,159.4,-83.6,270.0,top
C4,151.8,-79.6,270.0,top
C5,153.4,-79.6,90.0,top
C6,161.0,-83.6,90.0,top
C7,152.7,-96.1,90.0,top
C8,155.3,-101.1,0.0,top
C9,155.3,-93.5,180.0,top
CN1,162.0,-64.775,0.0,top
CN2,160.9852,-118.1608,180.0,top
Card1,158.379,-79.9,90.0,bottom
D1,167.0,-79.2,180.0,top
D2,167.0,-80.8,180.0,top
D3,167.0,-82.4,180.0,top
D4,167.0,-76.0,180.0,top
D5,179.2224,-53.1876,90.0,top
D6,167.0,-77.6,180.0,top
D7,180.8988,-53.1876,90.0,top
FPC1,165.0,-53.8385,0.0,top
J1,176.4,-63.5,0.0,top
J2,176.4,-74.8,0.0,top
J3,168.8592,-122.1232,180.0,top
J4,176.4,-86.1,0.0,top
J5,180.1,-63.5,0.0,top
LED1,175.8548,-109.4172,180.0,top
LED2,175.8548,-112.2172,180.0,top
LED3,179.6468,-109.4172,180.0,top
LED4,179.6468,-112.2172,180.0,top
LED5,183.4388,-109.4172,180.0,top
LED6,183.4388,-112.2172,180.0,top
LED7,187.2308,-109.4172,180.0,top
LED8,187.2308,-112.2172,180.0,top
MIC1,153.5684,-109.0676,0.0,top
R1,163.6,-79.2,0.0,top
R10,163.6,-77.6,0.0,top
R11,180.8988,-53.1876,90.0,bottom
R12,186.5376,-121.2088,0.0,top
R13,182.4736,-121.2088,0.0,top
R14,153.3652,-112.6744,0.0,top
R15,175.5648,-102.616,270.0,bottom
R16,177.1648,-102.616,270.0,bottom
R17,169.1,-77.6,0.0,bottom
R18,169.1,-79.2,0.0,bottom
R19,169.1,-84.0,0.0,bottom
R2,163.6,-80.8,0.0,top
R20,169.1,-85.6,0.0,bottom
R21,153.2636,-119.0244,180.0,top
R22,165.608,-118.4656,90.0,top
R23,173.228,-115.062,0.0,top
R24,173.228,-116.7672,0.0,top
R25,173.228,-118.5672,0.0,top
R26,156.0,-58.9,180.0,bottom
R3,163.6,-82.4,0.0,top
R4,186.7916,-55.9816,180.0,bottom
R5,186.7408,-58.7756,180.0,bottom
R6,186.4785,-66.5988,180.0,bottom
R7,186.5293,-69.2912,180.0,bottom
R8,163.6,-76.0,0.0,top
R9,179.2224,-53.1876,90.0,bottom
SW1,152.6975,-57.8,90.0,bottom
U1,156.8,-83.6,270.0,top
U2,158.0,-77.0,270.0,top
U3,162.4,-95.3,90.0,top
U4,178.9176,-57.0992,180.0,top
U5,179.8043,-113.669,0.0,bottom
USB1,185.928,-57.5056,90.0,top
USB2,185.9409,-68.0076,90.0,top
USB4,182.8094,-81.1276,90.0,top
USB5,182.7078,-96.6724,90.0,top
X1,155.3,-98.1,90.0,top
