Designator,Mid X,Mid Y,Rotation,Layer
C1,196.088,-88.392,270.0,bottom
C10,201.676,-90.424,180.0,bottom
C11,196.088,-69.032,90.0,top
C12,190.5762,-72.4916,270.0,bottom
C13,205.6384,-85.09,0.0,top
C14,196.215,-73.025,180.0,top
C15,196.215,-71.501,0.0,top
C16,190.442,-73.094,180.0,top
C17,206.0448,-78.1558,0.0,top
C18,202.5396,-87.4776,0.0,top
C19,208.788,-80.264,90.0,top
C2,195.072,-97.536,90.0,bottom
C20,210.88,-80.264,90.0,top
C21,205.6384,-82.042,0.0,top
C22,205.6384,-83.566,0.0,top
C23,206.0448,-76.6572,0.0,top
C24,206.0448,-79.6544,0.0,top
C25,206.756,-92.3036,270.0,bottom
C26,204.78,-92.3036,90.0,bottom
C27,198.12,-89.0524,180.0,top
C28,204.8764,-75.1332,0.0,top
C29,190.442,-74.618,180.0,top
C3,201.676,-99.568,0.0,bottom
C30,186.944,-89.916,90.0,top
C31,186.944,-95.504,90.0,top
C32,186.944,-101.092,90.0,top
C4,190.5,-88.392,270.0,bottom
C5,189.484,-97.536,90.0,bottom
C6,201.676,-93.98,0.0,bottom
C7,192.024,-91.44,0.0,bottom
C8,192.024,-92.964,0.0,bottom
C9,201.676,-91.948,180.0,bottom
Card2,198.0,-64.5775,180.0,bottom
D1,200.152,-63.952,180.0,top
D2,200.152,-70.048,180.0,top
D3,185.9261,-76.2,0.0,top
D4,185.9261,-77.724,0.0,top
D5,185.9261,-79.248,0.0,top
D6,185.9261,-80.772,0.0,top
D7,185.9261,-82.296,0.0,top
D8,185.9261,-83.82,0.0,top
D9,185.9261,-85.344,0.0,top
J1,210.75,-73.9195,270.0,top
J2,184.08,-73.9195,90.0,top
L1,193.548,-88.392,270.0,bottom
L2,192.532,-97.536,90.0,bottom
L3,201.676,-97.028,0.0,bottom
LED1,190.6524,-90.678,90.0,top
LED2,190.6524,-93.98,90.0,top
LED3,190.6524,-97.282,90.0,top
LED4,190.6524,-100.584,90.0,top
LED5,204.2414,-90.7288,90.0,top
LED6,204.2414,-93.98,90.0,top
LED7,204.2414,-97.282,90.0,top
LED8,204.2414,-100.584,90.0,top
R1,197.612,-88.392,270.0,bottom
R10,189.4821,-76.2,180.0,top
R11,189.4821,-77.724,180.0,top
R12,189.4821,-79.248,180.0,top
R13,189.4821,-80.772,180.0,top
R14,189.4821,-82.296,180.0,top
R15,200.66,-72.644,90.0,bottom
R16,199.136,-72.644,90.0,bottom
R17,193.6496,-72.4916,90.0,bottom
R18,192.1256,-72.4916,90.0,bottom
R19,209.864,-82.804,0.0,top
R2,196.596,-97.536,90.0,bottom
R20,209.864,-77.724,0.0,top
R21,203.708,-70.048,180.0,top
R22,203.708,-63.952,180.0,top
R23,189.9158,-64.5922,90.0,top
R24,189.9666,-70.1294,270.0,top
R25,189.4821,-83.82,180.0,top
R26,189.4821,-85.344,180.0,top
R27,188.468,-89.916,270.0,top
R28,188.468,-95.504,270.0,top
R29,188.468,-101.092,270.0,top
R3,201.676,-101.092,0.0,bottom
R4,199.136,-88.392,270.0,bottom
R5,198.12,-97.536,90.0,bottom
R6,201.676,-102.616,0.0,bottom
R7,208.788,-97.536,0.0,top
R8,197.612,-64.968,90.0,top
R9,197.612,-69.032,270.0,top
SW1,184.404,-89.916,270.0,top
SW2,184.404,-95.504,270.0,top
SW3,184.404,-101.092,270.0,top
U1,197.5,-81.0,0.0,top
U2,197.104,-92.964,0.0,bottom
U3,205.796,-96.012,90.0,bottom
U4,201.93,-67.0,180.0,top
U5,208.28,-91.44,0.0,top
U6,197.45,-107.72,0.0,top
USB1,208.9415,-67.508,90.0,top
USB2,185.9705,-67.46,270.0,top
X1,200.025,-72.644,180.0,top
